#Table: J/MNRAS/434/3236/table2.dat (http://cdsarc.cds.unistra.fr)
-------------------------------------------------------------------------
                     |     |e_p|     |e_p|      |    e|      |    e|
     RAdeg      DEdeg| pmRA|mRA| pmDE|mDE|  Jmag|_Jmag|  Kmag|_Kmag| Mass
---------------------|-----|---|-----|---|------|-----|------|-----|-----
128.866872 +20.196339|-33.4|1.5|-15.2|1.5|09.189|0.034|08.920|0.019|1.276
128.891127 +18.929857|-39.0|4.1|-14.4|4.1|12.274|0.022|11.420|0.017|0.611
128.900545 +19.532856|-43.0|5.5|-14.8|5.5|15.261|0.042|14.376|0.062|0.167
128.913645 +20.402742|-31.7|4.1|-13.3|4.1|13.961|0.025|13.046|0.025|0.317
128.915315 +19.126787|-35.2|4.1|-12.5|4.1|13.225|0.023|12.290|0.020|0.432
128.917293 +18.707877|-37.8|4.1|-14.0|4.1|13.277|0.023|12.358|0.020|0.423
128.930957 +16.755988|-37.8|4.2|-06.1|4.2|14.047|0.027|13.136|0.031|0.305
128.935879 +18.960636|-40.1|4.1|-13.8|4.1|14.400|0.035|13.547|0.033|0.255
128.937799 +19.771160|-36.2|0.9|-13.3|0.7|07.140|0.020|07.117|0.021|2.166
128.938163 +19.640599|-40.9|4.1|-10.0|4.1|11.119|0.022|10.539|0.017|0.820
128.941225 +22.511817|-40.0|4.1|-18.2|4.1|13.843|0.032|12.949|0.024|0.335
128.944904 +19.870934|-40.7|4.1|-11.1|4.1|11.888|0.022|11.056|0.017|0.679
128.946757 +18.141663|-41.8|4.1|-14.4|4.1|13.616|0.025|12.695|0.020|0.369
128.947083 +19.589637|-37.5|4.1|-17.9|4.1|14.368|0.027|13.472|0.028|0.259
128.959396 +19.850017|-38.7|4.1|-15.8|4.1|14.378|0.037|13.565|0.041|0.258
128.966956 +20.266328|-34.3|5.5|-10.9|5.5|14.827|0.035|13.840|0.033|0.205
128.970405 +18.314183|-40.7|4.1|-10.9|4.1|13.136|0.022|12.257|0.028|0.449
128.977293 +18.149355|-32.7|1.5|-09.7|1.6|09.757|0.023|09.445|0.026|1.123
128.979086 +22.769801|-35.3|4.1|-20.1|4.1|10.763|0.022|10.231|0.021|0.892
128.985445 +20.618599|-39.0|5.5|-14.2|5.5|15.031|0.041|14.080|0.047|0.186
128.988359 +19.351788|-34.2|5.5|-14.2|5.5|15.054|0.040|14.154|0.042|0.184
128.996633 +18.308234|-32.2|4.1|-14.1|4.1|13.138|0.023|12.277|0.019|0.449
128.997725 +20.077928|-34.9|4.1|-14.2|4.1|13.882|0.028|12.998|0.022|0.329
128.999483 +19.525556|-38.4|4.1|-10.4|4.1|11.210|0.025|10.569|0.021|0.802
129.001997 +17.975925|-34.9|4.1|-16.3|4.1|12.874|0.025|12.001|0.019|0.499
129.004466 +21.286496|-35.0|5.6|-11.4|5.6|15.183|0.043|14.305|0.049|0.173
129.006731 +19.958710|-36.8|5.5|-08.0|5.5|15.186|0.044|14.321|0.053|0.173
129.010069 +19.074023|-30.1|5.5|-06.9|5.5|15.089|0.048|14.249|0.052|0.181
129.013527 +20.837703|-41.9|4.1|-16.1|4.1|14.682|0.027|13.782|0.034|0.221
129.013855 +19.424669|-38.7|4.1|-10.0|4.1|14.505|0.030|13.656|0.030|0.242
129.018496 +19.920290|-39.5|4.1|-16.7|4.1|11.995|0.023|11.159|0.019|0.660
129.026299 +20.683314|-37.8|4.1|-13.6|4.1|12.324|0.021|11.454|0.024|0.603
129.035827 +19.957054|-30.5|5.5|-17.3|5.5|14.156|0.025|13.200|0.029|0.289
129.036034 +18.747469|-39.8|4.1|-17.8|4.1|12.110|0.021|11.289|0.019|0.639
129.037321 +19.158588|-37.6|4.1|-16.8|4.1|13.270|0.023|12.380|0.019|0.424
129.037415 +19.230025|-33.9|4.1|-13.1|4.1|12.937|0.021|12.042|0.023|0.487
129.045122 +19.694813|-35.7|5.5|-05.0|5.5|15.066|0.033|14.217|0.051|0.183
129.047633 +19.877868|-39.5|4.1|-11.6|4.1|12.533|0.023|11.659|0.022|0.563
129.049801 +18.063643|-24.6|4.1|-12.2|4.1|14.954|0.040|14.019|0.042|0.193
129.050131 +17.879638|-37.8|4.2|-14.8|4.2|14.502|0.030|13.546|0.036|0.242
129.050292 +18.735497|-35.3|4.1|-20.5|4.1|13.789|0.023|12.957|0.024|0.344
129.058403 +20.510513|-35.8|4.2|-02.6|4.2|15.467|0.047|14.478|0.061|0.152
129.058732 +19.621496|-30.8|2.2|-09.7|2.2|10.931|0.023|10.363|0.019|0.857
129.059525 +19.425082|-37.4|4.1|-15.5|4.1|12.756|0.025|11.907|0.019|0.521
129.064714 +20.686051|-38.6|4.1|-16.5|4.1|12.507|0.023|11.634|0.022|0.568
129.066594 +20.553122|-38.7|4.1|-15.1|4.1|12.043|0.023|11.232|0.022|0.651
129.067310 +19.377976|-44.6|5.5|-11.8|5.5|14.634|0.035|13.698|0.040|0.226
129.072675 +20.341504|-35.9|1.0|-13.8|0.7|07.209|0.020|07.170|0.033|2.136
129.079258 +18.919009|-40.3|4.1|-19.5|4.1|13.214|0.021|12.349|0.029|0.434
129.079827 +19.898581|-36.6|4.1|-15.1|4.1|13.479|0.021|12.573|0.024|0.389
129.084969 +20.116763|-43.2|4.1|-11.5|4.1|13.770|0.027|12.897|0.024|0.347
129.089856 +20.897392|-39.1|4.1|-14.0|4.1|13.282|0.025|12.431|0.026|0.422
129.090920 +20.205468|-40.6|4.1|-17.2|4.1|13.062|0.023|12.173|0.019|0.463
129.093395 +20.118581|-31.9|4.1|-12.7|4.1|14.356|0.032|13.448|0.030|0.261
129.094547 +19.191487|-39.4|4.1|-11.4|4.1|10.763|0.023|10.257|0.019|0.892
129.097590 +18.405839|-38.0|4.1|-14.4|4.1|12.760|0.030|11.909|0.019|0.520
129.104780 +21.149028|-35.9|4.1|-13.5|4.1|12.883|0.022|11.982|0.024|0.497
129.113023 +19.865188|-33.5|4.1|-13.9|4.1|12.104|0.029|11.226|0.019|0.640
129.116102 +21.121147|-38.7|4.1|-12.3|4.1|11.715|0.023|10.957|0.019|0.711
129.117933 +20.228586|-39.5|4.1|-10.0|4.1|10.982|0.023|10.441|0.019|0.847
129.122622 +21.052888|-36.3|4.1|-11.2|4.1|14.077|0.025|13.194|0.022|0.300
129.124370 +18.965852|-35.8|1.1|-13.4|1.2|08.512|0.024|08.299|0.021|1.523
129.127078 +19.920537|-39.7|5.5|-20.6|5.5|14.799|0.035|13.874|0.038|0.208
129.130082 +19.592607|-36.6|4.1|-15.5|4.1|13.898|0.025|13.014|0.022|0.327
129.131280 +18.315275|-39.4|4.1|-17.3|4.1|13.881|0.028|13.005|0.026|0.329
129.139092 +19.915119|-39.1|4.1|-15.7|4.1|12.891|0.029|12.008|0.019|0.496
129.145448 +20.275200|-40.9|4.1|-14.5|4.1|13.024|0.023|12.142|0.022|0.470
129.151739 +19.185221|-39.7|4.1|-10.0|4.1|12.019|0.023|11.199|0.019|0.655
