#Table: J/MNRAS/434/3236/table2.dat (http://cdsarc.cds.unistra.fr)
-------------------------------------------------------------------------
                     |     |e_p|     |e_p|      |    e|      |    e|
     RAdeg      DEdeg| pmRA|mRA| pmDE|mDE|  Jmag|_Jmag|  Kmag|_Kmag| Mass
---------------------|-----|---|-----|---|------|-----|------|-----|-----
131.825511 +20.485862|-34.5|4.0|-18.5|4.0|13.089|0.033|12.195|0.025|0.458
131.829492 +21.183926|-39.9|5.3|-16.5|5.3|14.548|0.036|13.638|0.039|0.236
131.830778 +19.214454|-34.9|3.6|-21.4|3.6|14.067|0.034|13.152|0.031|0.302
131.840132 +20.656101|-40.7|4.0|-19.2|4.0|12.684|0.024|11.762|0.021|0.534
131.893759 +17.630744|-35.5|3.7|-18.9|3.7|13.597|0.027|12.742|0.020|0.372
131.894542 +19.138296|-37.4|3.6|-11.1|3.6|12.328|0.029|11.406|0.021|0.602
131.899059 +21.926804|-37.5|2.2|-11.2|2.2|10.773|0.026|10.316|0.020|0.890
131.924190 +18.941314|-35.8|3.6|-13.5|3.6|13.411|0.025|12.552|0.026|0.400
131.936847 +18.437704|-26.3|3.6|-11.1|3.6|14.377|0.030|13.478|0.039|0.258
131.937985 +18.356655|-37.4|3.6|-13.9|3.6|12.616|0.023|11.744|0.024|0.547
131.953590 +18.605429|-38.9|3.6|-15.4|3.6|13.634|0.031|12.771|0.028|0.367
131.960516 +19.153058|-31.6|3.6|-18.7|3.6|14.364|0.032|13.573|0.050|0.260
131.961417 +22.451075|-32.6|4.0|-14.2|4.0|14.000|0.031|13.139|0.029|0.311
131.973399 +20.794912|-24.6|4.0|-16.0|4.0|11.987|0.023|11.213|0.024|0.661
131.974340 +19.131471|-28.3|3.6|-14.4|3.6|14.381|0.031|13.540|0.041|0.257
132.001007 +20.401890|-39.2|4.1|-18.9|4.1|14.542|0.032|13.695|0.041|0.237
132.044635 +19.625892|-35.4|4.9|-03.6|4.9|15.414|0.061|14.465|0.062|0.156
132.047842 +18.191116|-41.1|3.6|-17.8|3.6|13.299|0.027|12.397|0.025|0.419
132.054688 +21.433455|-27.3|5.4|-15.1|5.4|15.119|0.049|14.277|0.052|0.179
132.071900 +16.913212|-39.4|3.7|-07.5|3.7|11.337|0.022|10.598|0.020|0.778
132.093919 +18.612437|-33.1|3.6|-07.1|3.6|13.173|0.026|12.317|0.024|0.442
132.098256 +19.836599|-39.6|3.6|-15.6|3.6|13.721|0.024|12.842|0.024|0.354
132.116001 +18.345533|-36.2|1.6|-09.7|1.6|10.164|0.022|09.772|0.019|1.025
132.125293 +18.950967|-38.3|4.9|-09.5|4.9|15.321|0.041|14.357|0.064|0.163
132.133308 +17.728300|-33.5|3.7|-04.7|3.7|14.267|0.032|13.363|0.030|0.273
132.136284 +16.939908|-37.6|3.7|-08.9|3.7|12.328|0.023|11.468|0.021|0.602
132.143806 +19.932633|-40.7|3.6|-13.8|3.6|12.763|0.021|11.894|0.021|0.519
132.208251 +20.443313|-38.9|4.0|-17.6|4.0|12.756|0.023|11.857|0.021|0.521
132.213073 +19.963300|-25.9|3.6|-16.1|3.6|12.242|0.024|11.380|0.022|0.617
132.214188 +20.904280|-38.2|5.4|-10.9|5.4|15.108|0.043|14.301|0.062|0.179
132.277948 +19.686496|-34.1|2.2|-12.8|2.2|10.533|0.023|10.068|0.021|0.941
132.318809 +21.586724|-36.6|4.0|-08.6|4.0|12.410|0.022|11.532|0.023|0.586
132.339026 +22.032525|-39.8|5.5|-18.4|5.5|15.159|0.047|14.357|0.086|0.175
132.361521 +18.522099|-36.7|3.6|-14.9|3.6|12.241|0.023|11.394|0.023|0.617
132.495532 +22.045597|-37.9|5.4|-20.2|5.4|15.095|0.045|14.073|0.051|0.181
132.497407 +19.166947|-39.1|3.6|-19.3|3.6|13.866|0.030|13.007|0.030|0.332
132.499931 +18.365012|-35.7|1.3|-12.2|1.3|10.015|0.022|09.640|0.023|1.060
132.506506 +18.814622|-26.7|3.6|-12.7|3.6|14.522|0.037|13.620|0.042|0.240
132.538355 +21.192677|-33.3|5.5|-15.8|5.4|15.110|0.065|14.268|0.077|0.179
132.545714 +19.551441|-30.1|3.6|-19.8|3.6|14.576|0.035|13.688|0.043|0.233
132.577293 +19.428525|-34.6|3.7|-14.3|3.7|11.089|0.022|10.526|0.020|0.826
132.626307 +19.308330|-26.3|3.7|-10.0|3.7|14.401|0.030|13.440|0.037|0.255
132.646985 +20.710453|-32.7|4.2|-05.9|4.2|14.367|0.031|13.401|0.042|0.259
132.650544 +19.951870|-36.8|5.0|-16.1|5.0|15.078|0.041|14.330|0.064|0.182
132.707674 +19.810138|-38.4|3.7|-18.3|3.7|13.529|0.026|12.651|0.022|0.382
132.736969 +19.616079|-38.8|3.7|-14.3|3.7|13.567|0.026|12.694|0.028|0.376
132.751677 +18.051051|-41.8|3.7|-12.5|3.7|13.352|0.022|12.480|0.020|0.410
132.784573 +17.401577|-28.2|3.8|-12.1|3.8|15.048|0.037|14.107|0.043|0.185
132.846741 +19.855090|-34.0|5.0|-21.9|5.0|15.226|0.043|14.448|0.061|0.170
132.857675 +19.315677|-37.2|3.7|-20.0|3.7|13.295|0.022|12.403|0.023|0.420
132.873811 +17.754216|-32.4|1.2|-16.3|1.3|06.144|0.019|05.513|0.016|2.512
133.014394 +21.360273|-29.9|2.2|-09.4|2.2|10.774|0.023|10.166|0.020|0.890
133.060520 +19.060871|-40.8|3.7|-08.3|3.7|11.882|0.022|11.064|0.020|0.681
133.101416 +18.821005|-33.6|3.7|-12.3|3.7|11.484|0.022|10.823|0.022|0.751
133.250838 +20.283158|-31.0|3.7|-05.6|3.7|10.805|0.022|10.245|0.018|0.883
133.284669 +19.581741|-30.0|3.7|-12.0|3.7|14.849|0.036|13.986|0.050|0.202
133.444452 +19.303941|-40.2|3.7|-12.0|3.7|11.973|0.023|11.165|0.021|0.664
133.446852 +18.728319|-31.7|3.8|-13.9|3.8|15.212|0.040|14.344|0.068|0.171
133.536124 +18.477437|-27.1|3.7|-08.6|3.7|11.910|0.023|11.081|0.020|0.675
133.541163 +19.946329|-26.6|3.7|-12.8|3.7|12.233|0.020|11.385|0.021|0.618
133.580451 +19.718509|-36.0|3.7|-21.4|3.7|11.090|0.022|10.452|0.018|0.825
-------------------------------------------------------------------------
